Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Approved,Public visible,Closed,Is_registered,Has_code
18942.0,Kamiti Maximum Clinic,Kamiti Maximum Clinic,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,nairobi,Roysambu,Roysambu,Kahawa West,Operational,False,False,True,False,True,True,False,False,True
18930.0,Namarei Dispensary (Marsabit South),Namarei Dispensary(Marsabit south),,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,4,5,9,marsabit,Laisamis,Laisamis,Korr/Ngurunit,Operational,False,False,False,False,True,True,False,False,True
18929.0,Kurungu Dispensary,Kurungu Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,1,3,marsabit,Laisamis,Laisamis,Kargi/South Horr,Operational,False,False,False,False,True,True,False,False,True
18910.0,Burgabo Dispensary,Burgabo Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,marsabit,North Horr,North Horr,Turbi,Operational,False,False,False,False,True,True,False,False,True
18899.0,Muthale Mission Hospital Satelite Clinic,Muthale Mission Hospital Satelite Clinic,,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,0,kitui,Kitui Central,Kitui Central,Township,Operational,False,False,False,False,True,True,False,False,True
18892.0,Ong'amo Dispensary,Ong'amo Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,homa bay,Kasipul,Rachuonyo South,West Kasipul,Operational,False,False,False,False,True,True,False,False,True
18888.0,Consolata Shrine Dispensary (Deep Sea Nairobi),Consolata Shrine Dispensary (Deep Sea Nairobi),,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,0,nairobi,Westlands,Westlands,Parklands/Highridge,Operational,False,False,True,False,True,True,False,False,True
18880.0,South Eastern Kenya University (Seku) Health Unit,South Eastern Kenya University (Seku) Health Unit,,Level 2,Dispensary,DISPENSARY,Public Institution - Academic,Ministry of Health,Ministry of Health,0,0,0,kitui,Kitui Rural,Kitui Rural,Kwavonza/Yatta,Operational,False,False,True,False,True,True,False,False,True
18879.0,Kenyatta University Kitui Campus Health Unit,Kenyatta University Kitui Campus Health Unit,,Level 2,Dispensary,DISPENSARY,Public Institution - Academic,Ministry of Health,Ministry of Health,0,0,0,kitui,Kitui Rural,Kitui Rural,Kwavonza/Yatta,Operational,False,False,True,False,True,True,False,False,True
18877.0,Otange Dispensary,Otange Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,6,6,12,homa bay,Ndhiwa,Ndhiwa,Kanyikela,Operational,False,False,False,False,True,True,False,False,True
