Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Approved,Public visible,Closed,Beds_data_suspect
15381.0,Nzoia Health centre,Nzoia Health Centre,,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,trans nzoia,Cherangany,Cherangany,Motosiet,Operational,False,False,False,False,True,True,False,True
15382.0,Ochii Dispensary,Ochii Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,baringo,Baringo Central,Baringo Central,Tenges,Operational,False,False,False,False,True,True,False,False
15385.0,Okilgei Dispensary,Okilgei Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,nakuru,Rongai,Rongai,Mosop,Operational,False,False,False,False,True,True,False,False
15387.0,Olasiti (AIC) Dispensary,Olasiti (AIC) Dispensary,,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0.0,0,0,narok,Narok East,Narok East,Suswa,Operational,False,False,False,False,True,True,False,False
15386.0,Ol-Arabel Dispensary,Ol-Arabel Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,baringo,Baringo South,Marigat,Mochongoi,Operational,False,False,False,False,True,True,False,False
15388.0,Olbutyo Health Centre,Olbutyo Health Centre,123,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,9.0,0,9,bomet,Chepalungu,Chepalungu,Kong'asis,Operational,True,False,True,False,True,True,False,False
15389.0,Olchorro Health Centre,Olchorro Health Centre,,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,3.0,0,3,narok,Narok North,Narok North,Melili,Operational,False,False,False,False,True,True,False,False
15395.0,Oldorko Dispensary,Oldorko Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,kajiado,Kajiado West,Kajiado West,Magadi,Operational,False,False,False,False,True,True,False,False
15396.0,Olemila VCT Centre,Olemila VCT Centre,,Level 2,Vct,STAND ALONE,Non-Governmental Organizations,Non-Governmental Organizations,Other,0.0,0,0,nandi,Emgwen,Emgwen,Kapsabet,Operational,True,False,False,False,True,True,False,False
15397.0,Olendeem Dispensary,Olendeem Dispensary,,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0.0,0,0,narok,Narok North,Narok North,Melili,Operational,False,False,False,False,True,True,False,False
15393.0,Oldonyo Nyokie Dispensary,Oldonyo Nyokie Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,kajiado,Kajiado West,Kajiado West,Magadi,Operational,False,False,False,False,True,True,False,False
15398.0,Olenguruone Sub-District Hospital,Olenguruone Sub-District Hospital,,Level 4,Primary Care Hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,24.0,0,24,nakuru,Kuresoi South,Kuresoi South,Amalo,Operational,True,False,True,False,True,True,False,False
15391.0,Oldepesi Dispensary,Oldepesi Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,bomet,Sotik,Sotik,Ndanai/Abosi,Operational,False,False,False,False,True,True,False,False
15400.0,Olereko Dispensary,Olereko Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,narok,Kilgoris,Transmara West,Shankoe,Operational,True,False,False,False,True,True,False,False
15399.0,Olepolos Dispensary,Olepolos Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,narok,Narok South,Narok South,Ololulung'a,Operational,False,False,False,False,True,True,False,False
15401.0,Oletukat Dispensary,Oletukat Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,narok,Narok East,Narok East,Ildamat,Operational,False,False,False,False,True,True,False,False
15390.0,Oldanyati Health Centre,Oldanyati Health Centre,,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,24.0,0,24,narok,Kilgoris,Transmara West,Keyian,Operational,False,False,False,False,True,True,False,False
15405.0,Oljogi Dispensary,Oljogi Dispensary,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,4.0,1,5,laikipia,Laikipia North,Laikipia North,Segera,Operational,True,False,True,False,True,True,False,False
15403.0,Olgumi Dispensary,Olgumi Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,kajiado,Kajiado West,Kajiado West,Ewuaso Oo Nkidong'i,Operational,False,False,False,False,True,True,False,False
15406.0,Ol-Jorai H/C,Ol-Jorai Health Center,,Level 3,Comprehensive Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,12.0,0,12,nakuru,Gilgil,Gilgil,Mbaruk/Eburu,Operational,False,False,False,False,True,True,False,False
15402.0,Olgulului Health Centre,Olgulului Health Centre,,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,20.0,4,24,kajiado,Kajiado South,Loitokitok,Entonet/Lenkism,Operational,True,False,True,False,True,True,False,False
15408.0,Olkinyei Dispensary,Olkinyei Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,narok,Narok West,Narok West,Siana,Operational,False,False,False,False,True,True,False,False
15407.0,Ol-Njorowa Flower Farm Medical Clinic,Ol-Njorowa Medical Clinic,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0.0,0,0,nakuru,Naivasha,Naivasha,Hellsgate,Operational,False,False,True,False,True,True,False,False
15411.0,Olkoroi Dispensary,Olkoroi Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,narok,Narok West,Narok West,Naikarra,Operational,False,False,False,False,True,True,False,False
15410.0,Olkokwe Health Centre,Olkokwe Health Centre,,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,baringo,Mogotio,Mogotio,Kisanana,Operational,False,False,False,False,True,True,False,True
15414.0,Olmekenyu Health Centre,Olmekenyu Health Centre,,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,narok,Narok South,Narok South,Melelo,Operational,False,True,True,False,True,True,False,True
15412.0,Ollessos Holy Family Dispensary,Ollessos Holy Family Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Kenya MPDB,0.0,0,0,nandi,Nandi Hills,Nandi Hills,Ol'lessos,Operational,False,False,False,False,True,True,False,False
15415.0,Olmesutie Dispensary,Olmesutie Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,narok,Narok South,Narok South,Loita,Operational,False,False,False,False,True,True,False,False
15409.0,Olkiramatian Dispensary,Olkiramatian Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,kajiado,Kajiado West,Kajiado West,Magadi,Operational,False,False,False,False,True,True,False,False
15419.0,Oloiyangalani Dispensary,Oloiyangalani Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,kajiado,Kajiado Central,Kajiado Central,Ildamat,Operational,False,False,False,False,True,True,False,False
15418.0,Oloika Dispensary,Oloika Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,kajiado,Kajiado West,Kajiado West,Magadi,Operational,False,False,False,False,True,True,False,False
15421.0,Olokyin Health Centre,Olokyin Health Centre,,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,9.0,0,9,bomet,Bomet East,Bomet East,Kipreres,Operational,True,False,True,False,True,True,False,False
15422.0,Ololpironito Health Centre,Ololpironito Health Centre,,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,3.0,0,3,narok,Narok East,Narok East,Ildamat,Operational,False,False,False,False,True,True,False,False
15420.0,Olokurto Health Centre,Olokurto Health Centre,,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,9.0,0,9,narok,Narok North,Narok North,Olokurto,Operational,True,False,True,False,True,True,False,False
15423.0,Ololulunga District Hospital,Ololulunga Sub County Hospital,,Level 4,Primary Care Hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,14.0,1,15,narok,Narok South,Narok South,Ololulung'a,Operational,True,False,True,False,True,True,False,False
15416.0,Olmoran Catholic Dispensary,Olmoran Catholic Dispensary,,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0.0,0,0,laikipia,Laikipia West,Laikipia West,Ol-moran,Operational,False,False,False,False,True,True,False,False
15426.0,Olorika Dispensary,Olorika Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,4.0,0,4,kajiado,Kajiado South,Loitokitok,Kuku,Operational,True,False,True,False,True,True,False,False
15428.0,Olorte Dispensary,Olorte Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,narok,Narok South,Narok South,Loita,Operational,False,False,False,False,True,True,False,False
15425.0,Olooseos Dispensary,Olooseos Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,kajiado,Kajiado West,Kajiado West,Keekonyokie,Operational,False,False,False,False,True,True,False,False
15432.0,Ol-Rongai Dispensary (Rongai),Ol-Rongai Dispensary (Rongai),,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,nakuru,Rongai,Rongai,Menengai West,Operational,False,False,False,False,True,True,False,False
15434.0,Oltepesi Dispensary,Oltepesi Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,kajiado,Kajiado West,Kajiado West,Keekonyokie,Operational,False,False,False,False,True,True,False,False
15435.0,Oltiasika Dispensary,Oltiasika Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,4.0,0,4,kajiado,Kajiado South,Loitokitok,Kuku,Operational,True,False,True,False,True,True,False,False
15436.0,Oltukai Lodge Clinic,Oltukai Lodge Clinic,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,4.0,0,4,kajiado,Kajiado South,Loitokitok,Entonet/Lenkism,Operational,True,False,True,False,True,True,False,False
15431.0,Olposimoru Dispensary,Olposimoru Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,narok,Narok North,Narok North,Olposimoru,Operational,False,False,False,False,True,True,False,False
15438.0,Ongata Medical Clinic,Ongata Medical Clinic,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0.0,0,0,kajiado,Kajiado North,Kajiado North,Nkaimurunya,Operational,False,False,True,False,True,True,False,False
15437.0,Ongata Dispensary,Ongata Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,uasin gishu,Kapseret,Kapseret,Megun,Operational,False,False,False,False,True,True,False,False
15439.0,Ongata Naado Dispensary,Ongata Naado Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,10.0,0,10,narok,Narok East,Narok East,Mosiro,Operational,False,False,False,False,True,True,False,False
15429.0,Olosho-Oibor Dispensary,Olosho-Oibor Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,kajiado,Kajiado West,Kajiado West,Ewuaso Oo Nkidong'i,Operational,False,False,False,False,True,True,False,False
15440.0,Ongata Rongai Sub County Hospital,Ongata Rongai Sub County Hospital,,Level 4,Primary Care Hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,16.0,1,17,kajiado,Kajiado North,Kajiado North,Nkaimurunya,Operational,True,True,False,True,True,True,False,False
15424.0,Olooltepes Dispensary,Olooltepes Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,kajiado,Kajiado West,Kajiado West,Keekonyokie,Operational,False,False,False,False,True,True,False,False
15444.0,Oromodei Dispensary,Oromodei Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,samburu,Samburu East,Samburu East,Wamba North,Operational,False,False,False,False,True,True,False,False
15445.0,Oropoi Dispensary,Oropoi Dispensary,,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0.0,0,0,turkana,Turkana West,Turkana West,Kalobeyei,Operational,False,False,False,False,True,True,False,False
15443.0,Orinie (AIC) Clinic,Orinie (AIC) Clinic,,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0.0,0,0,kajiado,Kajiado Central,Kajiado Central,Dalalekutuk,Operational,False,False,False,False,True,True,False,False
15446.0,Ortum Mission Hospital,Ortum Mission Hospital,,Level 4,Primary Care Hospitals,HOSPITALS,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,127.0,6,133,west pokot,Pokot South,Pokot South,Batei,Operational,True,False,True,False,True,True,False,False
15448.0,Osinoni Dispensary,Osinoni Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,narok,Kilgoris,Transmara West,Shankoe,Operational,False,False,False,False,True,True,False,False
15450.0,Osotua Medical Clinic,Osotua Medical Clinic,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0.0,0,0,kajiado,Kajiado East,Kajiado East,Kaputiei North,Operational,False,False,False,False,True,True,False,False
15449.0,Osorongai Dispensary,Osorongai Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,uasin gishu,Turbo,Turbo,Ngenyilel,Operational,False,False,False,False,True,True,False,False
15452.0,Our Lady of Lords Dispensary,Our Lady Of Lords Dispensary,,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0.0,0,0,uasin gishu,Turbo,Turbo,Tapsagoi,Operational,False,False,False,False,True,True,False,False
15451.0,Osupuko Dispensary,Osupuko Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,narok,Kilgoris,Transmara West,Kilgoris Central,Operational,False,False,False,False,True,True,False,False
15458.0,Makutano (PCEA) Medical Clinic (Trans Nzoia East),Makutano (PCEA) Medical Clinic (Trans Nzoia East),,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0.0,0,0,trans nzoia,Cherangany,Cherangany,Makutano,Operational,False,False,False,False,True,True,False,False
