Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Approved,Public visible,Closed,Beds_data_suspect
25720.0,Itete Dispensary,Itete Dispensary,01245,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,8.0,3,11,kakamega,Matungu,Matungu,Koyonzo,Operational,False,False,False,False,True,True,False,False
25722.0,Penda Medical Center - Mathare North,Penda Medical Center - Mathare North,017345,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0.0,0,0,nairobi,Ruaraka,Ruaraka,Mathare North,Operational,False,True,True,False,True,True,False,False
,Mukavakava,Mukavakava,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,1,1,kakamega,Malava,Malava,Butali/Chegulo,Operational,False,False,False,False,True,True,False,False
,Nchurra Dispensary,Nchurra Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,narok,Narok South,Narok South,Melelo,Operational,False,False,False,False,True,True,False,False
,Upland Health Care Center,Upland Health Care Center,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,,0.0,0,0,kirinyaga,Kirinyaga Central,Kirinyaga Central,Kerugoya,Operational,False,True,True,True,True,True,False,False
,Elfem Medical Clinic,Elfem Medical Clinic,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0.0,0,0,kirinyaga,Kirinyaga Central,Kirinyaga Central,Kanyekini,Operational,False,False,False,False,True,True,False,False
,Genvis Medical Center,Genvis Medical Center,016692,Level 3,Medical Center,MEDICAL CENTER,Private Practice Lab Technician/Technologist,Private Practice,Kenya MPDB,15.0,1,16,embu,Mbeere North,Mbeere North,Muminji,Operational,True,True,True,True,True,True,False,False
25702.0,Annie Hospital,Annie Hospital,001654,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,30.0,4,34,trans nzoia,Kiminini,Kiminini,Hospital,Operational,True,True,True,True,True,True,False,False
25719.0,The white cresent Hospital,The white cresent Hospital,,Level 5,Secondary Care Hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,,87.0,4,91,nandi,Chesumei,Chesumei,Chemundu/Kapng'etunyi,Operational,True,True,True,True,True,True,False,False
25699.0,Lutasio Health Centre,Lutasio Health Centre,,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,2.0,2,4,kakamega,Matungu,Matungu,Khalaba,Operational,False,False,False,False,True,True,False,False
,C.M.C,Charis Medical Centre,,Level 3,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Pharmacy & Poisons Board,21.0,0,21,kirinyaga,Mwea,Kirinyaga North/Mwea West,Mutithi,Operational,True,True,True,True,True,True,False,False
25716.0,Kitaor  Dispensary,Kitaor  Dispensary,26121,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,nandi,Aldai,Aldai,Kemeloi-maraba,Operational,False,False,False,False,True,True,False,False
,PONAH HEALTHCARE MEDICAL CLINIC,PONAH HEALTHCARE MEDICAL CLINIC,17076,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,"Kenya Medical Laboratory, Tech & Technologists Board",5.0,1,6,vihiga,Hamisi,Hamisi,Tambua,Operational,True,True,True,True,True,True,False,False
25698.0,Namasanda Health Centre,Namasanda Health Centre,,Level 2,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,10.0,2,12,kakamega,Matungu,Matungu,Kholera,Operational,False,False,False,False,True,True,False,False
,Kagumo Vision Medical Centre-Annex,Kagumo Vision Medical Centre-Annex,,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,35.0,0,35,kirinyaga,Kirinyaga Central,Kirinyaga Central,Mutira,Operational,True,True,True,True,True,True,False,False
,Hapsa Medical Clinic,Hapsa Medical Clinic,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0.0,0,0,kirinyaga,Gichugu,Kirinyaga East,Kabare,Operational,False,False,False,False,True,True,False,False
,Curafa Kabuku,Heart of Hope,016833,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,0.0,0,0,kiambu,Limuru,Limuru,Ngecha Tigoni,Operational,False,False,False,True,True,True,False,False
25701.0,BROOKLYN MEDICAL CENTRE,BROOKLYN MEDICAL CENTRE,015085,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0.0,0,0,bomet,Bomet Central,Bomet Central,Silibwet Township,Operational,False,True,True,False,True,True,False,False
25704.0,Wellness Health Services,Wellness Health Services,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,,0.0,0,0,machakos,Machakos Town,Machakos,Muvuti/Kiima-kimwe,Operational,False,True,True,False,True,True,False,False
25721.0,Penda Medical Centre - Lucky Summer,Penda Medical Centre - Lucky Summer,017194,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Ministry of Health,0.0,0,0,nairobi,Ruaraka,Ruaraka,Lucky Summer,Operational,False,True,True,True,True,True,False,False
25697.0,Emaira Dispensary,Emaira Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,,0.0,0,0,kakamega,Butere,Butere,Marama West,Operational,False,False,False,False,True,True,False,False
25690.0,DANYA MEDICAL CENTRE,DANYA MEDICAL CENTRE,017273,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,16.0,4,20,nyamira,West Mugirango,Nyamira,Bonyamatuta,Operational,True,True,True,True,True,True,False,False
25723.0,Mimosa Cottage Hospital,Mimosa Cottage Hospital,,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Nurse / Midwifery,Private Practice,,14.0,0,14,nairobi,Roysambu,Roysambu,Roysambu,Operational,True,True,True,True,True,True,False,False
,PMMMC,PEFA MERCY MISSION MEDICAL CENTRE,,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,6.0,0,6,nyandarua,Kinangop,Kinangop,Magumu,Operational,True,True,True,True,True,True,False,False
25691.0,Custom Medical Center,Custom Medical Center,016804,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,Kenya MPDB,27.0,3,30,mandera,Mandera East,Mandera East,Township,Operational,True,True,True,True,True,True,False,False
,Alder Medical Centre,Alder Medical Centre,Rc00207/20,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0.0,0,0,kiambu,Thika Town,Thika Town,Hospital,Operational,False,False,False,False,True,True,False,False
25693.0,Ntharawe Dispensary,Ntharawe Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,embu,Mbeere South,Mbeere South,Kiambere,Operational,False,False,False,False,True,True,False,False
25694.0,Shichinji Dispensary,Shichinji Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,,4.0,1,5,kakamega,Ikolomani,Ikolomani,Idakho North,Operational,False,False,False,False,True,True,False,False
25692.0,Munasio Dispensary,Munasio Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,kakamega,Shinyalu,Shinyalu,Isukha West,Operational,False,False,False,False,True,True,False,False
25685.0,Medafya Healthcare Limited,Medafya Healthcare Limited,,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,,0.0,0,0,kisumu,Kisumu Central,Kisumu Central,Shauri Moyo Kaloleni,Operational,False,False,False,False,True,True,False,False
25725.0,Hakika Medical clinic,Hakika Medical clinic,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0.0,0,0,nairobi,Embakasi North,Embakasi North,Kariobangi North,Operational,False,True,True,False,True,True,False,False
25688.0,Edris Premier Hospital Limited,Edris Premier Hospital Limited,016621,Level 3,Nursing And Maternity Home,NURSING HOME,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,25.0,0,25,nairobi,Kamukunji,Kamukunji,Airbase,Operational,True,True,True,True,True,True,False,False
25696.0,Venus Medical Center,Venus Medical Center,,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0.0,0,0,kirinyaga,Gichugu,Kirinyaga East,Njukiine,Operational,False,False,False,False,True,True,False,False
25675.0,Neema Optician Eye Clinic,Neema Optician Eye Clinic,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,,0.0,0,0,nyeri,Nyeri Town,Nyeri Central,Rware,Operational,False,False,True,False,True,True,False,False
25676.0,Garlands Medical Center,Garlands Medical Center,A4225,Level 3,Medical Center,MEDICAL CENTER,Private Practice- Pharmacist,Private Practice,Kenya MPDB,0.0,0,0,nyeri,Nyeri Town,Nyeri Central,Ruring'u,Operational,True,True,True,True,True,True,False,False
25672.0,Kamalel Health Centre,Kamalel Health Centre,,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Kenya MPDB,30.0,0,30,uasin gishu,Kesses,Kesses,Racecourse,Operational,True,True,True,True,True,True,False,False
25695.0,Lions Sightfirst Eye Hospital Nyeri,Lions Sightfirst Eye Hospital Nyeri,9590,Level 3,Medical Center,MEDICAL CENTER,Non-Governmental Organizations,Non-Governmental Organizations,Clinical Officers Council,0.0,0,0,nyeri,Nyeri Town,Nyeri Central,Rware,Operational,False,False,True,False,True,True,False,False
,MENORAH MEDICAL INSTITUTE K LIMITED,MENORAH MEDICAL INSTITUTE K LIMITED,017128,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,30.0,0,30,makueni,Makueni,Makueni,Wote,Operational,False,True,True,True,True,True,False,False
25677.0,Agha Khan University Hospital Malindi,Agha Khan University Hospital Malindi,42240,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0.0,0,0,kilifi,Magarini,Magarini,Sabaki,Operational,False,False,False,False,True,True,False,False
25673.0,Kibotany Dispensary,Kibotany Dispensary,3655,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,baringo,Mogotio,Mogotio,Kisanana,Operational,False,False,False,False,True,True,False,False
25616.0,Supermed Dialysis & Diagnostic Centre,Supermed Dialysis & Diagnostic Centre,016841,Level 3,Nursing Homes,NURSING HOME,Private Practice - Medical Specialist,Private Practice,Nursing Council of Kenya (Private Practice),8.0,0,8,mandera,Mandera East,Mandera East,Township,Operational,True,True,True,True,True,True,False,False
25678.0,Gladwell-B,Gladwell-B,016870,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0.0,0,0,kilifi,Magarini,Magarini,Gongoni,Operational,False,True,True,True,True,True,False,False
25679.0,Muye Wa Kaye,Muye Wa Kaye,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,kilifi,Magarini,Magarini,Adu,Operational,False,False,False,False,True,True,False,False
25623.0,Hudud Nursing Home,Hudud Nursing Home,016715,Level 3,Nursing Homes,NURSING HOME,Private Practice - Nurse / Midwifery,Private Practice,Pharmacy & Poisons Board,24.0,2,26,mandera,Mandera East,Mandera East,Township,Operational,True,True,True,True,True,True,False,False
25618.0,Lions Ngoswani Hospital,Lions Ngoswani Community Maternal and Child Hospital,005944,Level 3,Primary Care Hospitals,HOSPITALS,Other Faith Based,Faith Based Organization,Kenya MPDB,10.0,6,16,narok,Narok West,Narok West,Siana,Operational,True,True,True,True,True,True,False,False
25617.0,Karare Medical Clinic,Karare Medical Clinic,1649,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0.0,0,0,marsabit,Saku,Saku,Karare,Operational,False,False,True,False,True,True,False,False
25626.0,Mbudzi Community Health Centre,Mbudzi Community Health Centre,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,kilifi,Ganze,Ganze,Jaribuni,Operational,False,False,False,False,True,True,False,False
25632.0,Royal Victory Hospital,Royal Victory Hospital,017165,Level 3,Specialized & Tertiary Referral Hospitals,HOSPITALS,Other Faith Based,Faith Based Organization,Ministry of Health,15.0,0,15,nairobi,Ruaraka,Ruaraka,Mathare North,Operational,True,True,True,True,True,True,False,False
25674.0,The God's Favour Nursing Home,The God's Favour Nursing Home,10148,Level 2,Nursing And Maternity Home,NURSING HOME,Private Practice- Pharmacist,Private Practice,Clinical Officers Council,5.0,0,5,uasin gishu,Soy,Soy,Moi's Bridge,Operational,True,True,True,True,True,True,False,False
25724.0,Penda Medical Centre - Kahawa Wendani,Penda Medical Centre - Kahawa Wendani,,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,,0.0,0,0,kiambu,Ruiru,Ruiru,Kahawa Wendani,Operational,False,False,False,True,True,True,False,False
,Maskan Medical Centre,Maskan Medical Centre,,Level 2,Basic Health Centre,HEALTH CENTRE,Private Practice - Nurse / Midwifery,Private Practice,,0.0,0,0,kiambu,Ruiru,Ruiru,Gatongora,Operational,False,False,False,True,True,True,False,True
25625.0,Mumias West Health Care,Mumias West Health Care,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,,0.0,0,0,kakamega,Mumias West,Mumias West,Mumias Central,Operational,True,True,True,True,True,True,False,False
,Kichawa Health Center,Kichawa Health Center,0000,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,homa bay,Karachuonyo,Karachuonyo,Kanyaluo,Operational,False,False,False,False,True,True,False,False
,Shamata Community Medical Centre,Shamata Community Medical Centre,12492,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0.0,0,0,kiambu,Ruiru,Ruiru,Biashara,Operational,False,False,False,True,True,True,False,False
,Eunicare Health Service,Eunicare Health Service,3770,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0.0,0,0,kiambu,Ruiru,Ruiru,Biashara,Operational,False,False,False,True,True,True,False,False
,Ntalabany Dispensary,Ntalabany Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,laikipia,Laikipia North,Laikipia North,Mugogodo East,Operational,False,False,False,False,True,True,False,False
25633.0,Naki Medical Clinic,Naki Medical Clinic,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0.0,0,0,meru,Central Imenti,Imenti Central,Abothuguchi Central,Operational,False,False,False,False,True,True,False,False
25680.0,Bonventure Kiamuri Medical Clinic,Bonventure Kiamuri Medical Clinic,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0.0,0,0,meru,Central Imenti,Imenti Central,Kiagu,Operational,True,True,True,True,True,True,False,False
25635.0,Gatuune Dispensary,Gatuune Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,meru,Central Imenti,Imenti Central,Mwangathia,Operational,False,False,False,False,True,True,False,False
,Bliss Medical Centre-Thika,Bliss Medical Centre-Thika,12924,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Clinical Officers Council,0.0,0,0,kiambu,Thika Town,Thika Town,Township,Operational,False,False,False,False,True,True,False,False
25609.0,Adenville Medical Care Centre,Adenville Medical Care Centre,017203,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,24.0,1,25,machakos,Mavoko,Athi River,Athi River,Operational,True,True,True,True,True,True,False,False
25669.0,Cape Of Good Hope Memoral Medical Clinic,Cape Of Good Hope Memoral Medical Clinic,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,,5.0,0,5,homa bay,Mbita,Mbita,Mfangano Island,Operational,False,False,False,False,True,True,False,False
25687.0,Prince Richard Health Care Clinic,Prince Richard Health Care Clinic,014343,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0.0,0,0,homa bay,Mbita,Mbita,Kasgunga,Operational,False,False,False,False,True,True,False,False
25610.0,Miathene Medical Clinic,Miathene Medical Clinic,RB00274/19,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0.0,0,0,meru,Tigania West,Tigania West,Kianjai,Operational,False,True,True,True,True,True,False,False
25608.0,Kapsimatwo Central Clinic,Kapsimatwo Central Clinic,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0.0,0,0,nandi,Nandi Hills,Nandi Hills,Nandi Hills,Operational,False,True,True,False,True,True,False,False
25597.0,Bombangi Dispensary,Bombangi Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,,12.0,0,12,nyamira,West Mugirango,Nyamira,Township,Operational,False,False,False,False,True,True,False,False
25612.0,MIKINDUNI DISPENSARY,MIKINDUNI DISPENSARY,159639,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Nursing Council of Kenya (Private Practice),2.0,0,2,tana river,Galole,Galole,Mikinduni,Operational,False,False,False,False,True,True,False,False
25715.0,Nabro Medical Clinic,Nabro Medical Clinic,016295,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0.0,0,0,nandi,Aldai,Aldai,Kemeloi-maraba,Operational,True,True,True,True,True,True,False,False
25636.0,Beta Care Setlite clinic,Beta Care Setlite clinic,016198,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0.0,0,0,nairobi,Starehe,Starehe,Ngara,Operational,False,False,False,False,True,True,False,False
25614.0,Osim Medical Centre,Osim Medical Centre,43036,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Pharmacy & Poisons Board,2.0,0,2,kajiado,Kajiado West,Kajiado West,Keekonyokie,Operational,True,False,False,True,True,True,False,False
25596.0,Nyamanga Dispensary(Ndhiwa),Nyamanga Dispensary(Ndhiwa),,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2.0,0,2,homa bay,Ndhiwa,Ndhiwa,Kanyamwa Kosewe,Operational,False,False,False,False,True,True,False,False
25641.0,Kenswed Nursing Home,Kenswed  Nursing Home,007180,Level 2,Nursing Homes,NURSING HOME,Private Practice - Clinical Officer,Private Practice,Pharmacy & Poisons Board,4.0,2,6,kajiado,Kajiado West,Kajiado West,Ewuaso Oo Nkidong'i,Operational,False,False,False,False,True,True,False,False
25642.0,Equity Afia  Medical Centre (Kikuyu),Equity Afia  Medical Centre (Kikuyu),,Level 2,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0.0,0,0,kiambu,Kikuyu,Kikuyu,Kikuyu,Operational,False,True,True,False,True,True,False,False
25643.0,Mwirigis Healthcare Services,Mwirigis Healthcare Services,017116,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0.0,0,0,nyeri,Nyeri South,Nyeri South,Iria-ini,Operational,False,False,False,False,True,True,False,False
25644.0,Health Gate Hospital,Health Gate Hospital,,Level 4,Secondary Care Hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,,70.0,1,71,nairobi,Starehe,Starehe,Pangani,Operational,True,True,True,True,True,True,False,False
25594.0,Nyumbani Medical Centre,Nyumbani Medical Centre,003787,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0.0,0,0,meru,Igembe South,Igembe South,Maua,Operational,False,True,True,True,True,True,False,False
25595.0,Waridi Family Health Care Center,Waridi Family Health Care Center,016578,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0.0,0,0,meru,Igembe South,Igembe South,Maua,Operational,False,True,True,True,True,True,False,False
,Annex N. M.C Mbiri,Annex Nucleaur Medical Diagnostic Center Mbiri,,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,,0.0,0,0,kirinyaga,Gichugu,Kirinyaga East,Njukiine,Operational,False,False,False,False,True,True,False,False
25639.0,States View Medical Cetre,States View Medical Cetre,15204,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Clinical Officers Council,4.0,0,4,nairobi,Embakasi East,Embakasi East,Lower Savannah,Operational,True,True,True,True,True,True,False,False
25650.0,Access Afya Baba dogo,Access Afya Baba dogo,0000000,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,2.0,0,2,nairobi,Ruaraka,Ruaraka,Babandogo,Operational,False,False,False,True,True,True,False,False
25592.0,Jamii Dental Clinic- Rongo,Jamii Dental Clinic- Rongo,005584,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,1.0,0,1,migori,Rongo,Rongo,Central Kamagambo,Operational,False,False,True,False,True,True,False,False
25700.0,Bomets health care,Bomets health care,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Nursing Council of Kenya (Private Practice),0.0,0,0,trans nzoia,Cherangany,Cherangany,Chepsiro/Kiptoror,Operational,False,False,False,False,True,True,False,False
25651.0,Ponacare Medical LTD,Ponacare Medical LTD,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,0.0,0,0,mombasa,Nyali,Nyali,Frere Town,Operational,True,True,True,True,True,True,False,False
,Jamii Dental Clinic,Jamii Dental Clinic,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,,2.0,0,2,migori,Rongo,Rongo,Central Kamagambo,Operational,False,False,False,False,True,True,False,False
25652.0,Waikiki Health Services,Waikiki Health Services,014585,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,3.0,0,3,nairobi,Embakasi East,Embakasi East,Embakasi,Operational,True,True,True,True,True,True,False,False
,Jamii Dental Clinic-Rongo,Jamii Dental Clinic-Rongo,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,,2.0,0,2,migori,Rongo,Rongo,Central Kamagambo,Operational,False,False,False,False,True,True,False,False
,Kimoriot Dispensary,Kimoriot Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Pharmacy & Poisons Board,3.0,2,5,baringo,Baringo South,Marigat,Mochongoi,Operational,False,False,False,False,True,True,False,False
25585.0,Reliable Health Care Services Limited,Reliable Health Care Services Limited,,Level 3,Nursing And Maternity Home,NURSING HOME,Private Practice - Clinical Officer,Private Practice,"Kenya Medical Laboratory, Tech & Technologists Board",20.0,1,21,machakos,Masinga,Masinga,Masinga Central,Operational,True,True,True,True,True,True,False,False
,ST Rhaphael Medical Centre,ST Rhaphael Medical Centre,11575234,Level 2,Basic Health Centre,HEALTH CENTRE,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0.0,0,0,kiambu,Ruiru,Ruiru,Kahawa Wendani,Operational,False,False,True,False,True,True,False,True
25654.0,Primecare Health  Services,Primecare Health  Services,3204,Level 2,Basic Health Centre,HEALTH CENTRE,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0.0,0,0,kiambu,Ruiru,Ruiru,Biashara,Operational,False,False,True,True,True,True,False,True
25584.0,St James Life Care Hospital,St James Life Care Hospital,017120,Level 3,Basic Health Centre,HEALTH CENTRE,Private Practice - Private Company,Private Practice,Kenya MPDB,20.0,0,20,siaya,Ugunja,Ugunja,Ugunja,Operational,True,True,True,True,True,True,False,False
,Tanapoint,Tanapoint,BU201904297,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice- Pharmacist,Private Practice,Kenya MPDB,0.0,0,0,tana river,Galole,Galole,Chewani,Operational,True,True,True,True,True,True,False,False
25655.0,Faith and Gracious Clinic,Faith and Gracious Clinic,4/1/6/5B,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0.0,0,0,embu,Manyatta,Manyatta,Ruguru-ngandori,Operational,False,True,True,False,True,True,False,False
25586.0,Dr. Shem Rakewa Dental Clinic,Dr. Shem Rakewa Limited,PVT-AAACUG4,Level 2,Dental Clinic,STAND ALONE,Private Practice - Private Company,Private Practice,Kenya MPDB,0.0,0,0,kisumu,Kisumu Central,Kisumu Central,Market Milimani,Operational,False,False,False,False,True,True,False,False
25580.0,Tuwo Dipensary,Tuwo Dipensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Pharmacy & Poisons Board,0.0,0,0,baringo,Tiaty,Tiaty East,Loiyamorok,Operational,False,False,False,False,True,True,False,False
25581.0,Cheplogoi Siri Medical  Clinic,Cheplogoi Siri Medical  Clinic,,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,4.0,2,6,baringo,Baringo South,Marigat,Marigat,Operational,False,False,False,False,True,True,False,False
25647.0,Tanocare Dental Clinic,Tanocare Dental Clinic,B961,Level 2,Dental Clinic,STAND ALONE,Private Practice - Private Company,Private Practice,Kenya MPDB,0.0,0,0,tharaka nithi,Chuka/Igambang'ombe,Chuka,Mugwe,Operational,False,False,False,False,True,True,False,False
25591.0,Jordan Primary Healthcare,Jordan Primary Healthcare,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,,0.0,0,0,embu,Mbeere South,Mbeere South,Mbeti South,Operational,False,False,False,False,True,True,False,False
25656.0,Bliss Medical Center(Umoja 2),Bliss Medical Center(Umoja 2),014333,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0.0,0,0,nairobi,Embakasi West,Embakasi West,Umoja I,Operational,False,False,False,False,True,True,False,False
25657.0,Thawabu Medical Clinic,Thawabu Medical Clinic,016308,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0.0,0,0,nairobi,Embakasi Central,Embakasi Central,Kayole South,Operational,False,False,False,False,True,True,False,False
25658.0,Equata Medical Center,Equata Medical Center,016619,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0.0,0,0,nairobi,Embakasi Central,Embakasi Central,Kayole South,Operational,False,False,False,False,True,True,False,False
