Status,Facility,Facility_ward,Facility_constituency,Facility_subcounty,Facility_county,Name,Code,year
semi-functional,Koloo Dispensary,north kanyamkago,uriri,uriri,migori,Upper Katieno Ii Community Health Unit,701617,2016
fully-functional,Thim Jope Dispensary,east kanyamkago,uriri,uriri,migori,Thimjope Community Health Unit,701616,2013
fully-functional,Otati Dispensary,kanyasa,nyatike,nyatike,migori,Gunga Community Health Unit,701615,2014
fully-functional,Piny Owacho Dispensary,central kanyamkago,uriri,uriri,migori,Nyaobe Community Health Unit,701614,2014
semi-functional,Piny Owacho Dispensary,central kanyamkago,uriri,uriri,migori,Central Kawere Rateng Community Health Unit,701613,2012
fully-functional,Ombo Kowiti Dispensary,central kanyamkago,uriri,uriri,migori,West Kawere Rateng Community Health Unit,701612,2014
fully-functional,Yago Dispensary,got kachola,nyatike,nyatike,migori,Yago Community Health Unit,701611,2014
fully-functional,Nyandago Koweru Dispensary,got kachola,nyatike,nyatike,migori,Nyandago Koweru Community Health Unit,701610,2014
semi-functional,Msekekwa Health Centre,kapchemutwa,keiyo north,keiyo north,elgeyo marakwet,Kapchemutwa Community Health Unit,701609,2011
semi-functional,Kibendo Health Centre,emsoo,keiyo north,keiyo north,elgeyo marakwet,Kokwao Community Health Unit,701608,2011
fully-functional,Kionyo Dispensary,abogeta west,south imenti,imenti south,meru,Kiungone Community Health Unit,701607,2017
fully-functional,Mihuu Dispensary,mihuu,webuye east,webuye east,bungoma,Mihuu C Community Health Unit,701606,2017
fully-functional,Namarambi Dispensary,ndivisi,webuye east,webuye east,bungoma,Marinda C Community Health Unit,701605,2017
fully-functional,Sinoko Dispensary (Bungoma East),ndivisi,webuye east,webuye east,bungoma,Sinoko B Community Health Unit,701604,2017
fully-functional,Namwatikho Dispensary,ndivisi,webuye east,webuye east,bungoma,Sitabicha B Community Health Unit,701603,2017
non-functional,Lontolio Dispensary,laisamis,laisamis,laisamis,marsabit,Lontolio Community Health Unit,701602,2011
non-functional,Kargi Health Centre,kargi/south horr,laisamis,laisamis,marsabit,Kargi Community Health Unit,701601,2010
semi-functional,Laisamis Sub county Referral Hospital(Marsabit South),laisamis,laisamis,laisamis,marsabit,Koya Community Health Unit,701600,2011
fully-functional,Rongo Sub County Hospital,central kamagambo,rongo,rongo,migori,Township Community Health Unit,701596,2016
fully-functional,Rongo Sub County Hospital,central kamagambo,rongo,rongo,migori,Kamkuyu Community Health Unit,701595,2010
fully-functional,Rongo Sub County Hospital,central kamagambo,rongo,rongo,migori,Kanyingombe Community Health Unit,701594,2013
fully-functional,Rongo Sub County Hospital,central kamagambo,rongo,rongo,migori,Koderobara Community Health Unit,701593,2013
fully-functional,Minyenya Health Centre,north kamagambo,rongo,rongo,migori,South Kamwango Community Health Unit,701592,2012
fully-functional,Minyenya Health Centre,north kamagambo,rongo,rongo,migori,North Kamwango Community Health Unit,701591,2009
fully-functional,Rongo Sub County Hospital,central kamagambo,rongo,rongo,migori,Kabuoro Community Health Unit,701590,2015
fully-functional,Lwala Community Hospital,north kamagambo,rongo,rongo,migori,Kameji Community Health Unit,701589,2012
fully-functional,Kochola Dispensary,east kamagambo,rongo,rongo,migori,Kong'udi Community Health Unit,701588,2014
fully-functional,Kamagambo SDA Dispenasry,east kamagambo,rongo,rongo,migori,Kagoro Community Health Unit,701587,2014
fully-functional,Kamagambo SDA Dispenasry,east kamagambo,rongo,rongo,migori,Kong'oma Community Health Unit,701586,2013
fully-functional,Ngodhe Dispensary,east kamagambo,rongo,rongo,migori,Kanyadieto Community Health Unit,701585,2014
fully-functional,Ngodhe Dispensary,east kamagambo,rongo,rongo,migori,Kanyadieto Community Health Unit,701584,2014
fully-functional,Ndege Oriedo Dispensary,east kamagambo,rongo,rongo,migori,Koluoch Community Health Unit,701583,2014
fully-functional,Ndege Oriedo Dispensary,east kamagambo,rongo,rongo,migori,Kambija Community Health Unit,701582,2015
fully-functional,Kangeso Dispensary,east kamagambo,rongo,rongo,migori,Kangeso Community Health Unit,701581,2013
fully-functional,Ngere Health Centre,east kamagambo,rongo,rongo,migori,East Kanyamamba Community Health Unit,701580,2013
fully-functional,Verna Health Centre,east kamagambo,rongo,rongo,migori,West Kanyamamba Community Health Unit,701579,2013
fully-functional,Ongo Health Centre,south kamagambo,rongo,rongo,migori,North Kanyajuok Community Health Unit,701578,2015
fully-functional,Ongo Health Centre,south kamagambo,rongo,rongo,migori,Kamreri Community Health Unit,701577,2012
fully-functional,Kalacha Sub County Referral Hospital (Chalbi),maikona,north horr,north horr,marsabit,Kalacha Community Health Unit,701576,2010
semi-functional,Turbi Dispensary (Marsabit North),turbi,north horr,north horr,marsabit,Turbi Community Health Unit,701575,2014
semi-functional,Hurri-Hills Dispensary,maikona,north horr,north horr,marsabit,Hurri Hills Community Health Unit,701574,2010
semi-functional,North Horr Health Centre,north horr,north horr,north horr,marsabit,North Horr Community Health Unit,701573,2010
fully-functional,Gatab Health Centre,loiyangalani,laisamis,laisamis,marsabit,Gatab Community Health Unit,701572,2017
non-functional,Namarei Dispensary (Marsabit South),korr/ngurunit,laisamis,laisamis,marsabit,Namarei Community Health Unit,701571,2014
fully-functional,Loiyangalani Gok Health centre,loiyangalani,laisamis,laisamis,marsabit,Loiyangalani Community Health Unit,701570,2013
semi-functional,Korr Dispensary,korr/ngurunit,laisamis,laisamis,marsabit,Korr Community Health Unit,701569,2015
semi-functional,Ngurunit Health centre,korr/ngurunit,laisamis,laisamis,marsabit,Ngurunit Community Health Unit,701568,2013
fully-functional,Logologo AIC Dispensary,loglogo,laisamis,laisamis,marsabit,Logologo Community Health Unit,701567,2012
fully-functional,Catholic Hospital Laisamis,laisamis,laisamis,laisamis,marsabit,Laisamis Community Health Unit,701566,2013
semi-functional,Magenche Health Centre,magenche,bomachoge borabu,bomachoge borabu,kisii,Kiabugesi Community Health Unit,701565,2017
semi-functional,Itembu Dispensary,magenche,bomachoge borabu,bomachoge borabu,kisii,Mokubo Community Health Unit,701564,2012
semi-functional,Omobera Dispensary,bokimonge,bomachoge borabu,bomachoge borabu,kisii,Kerongorori Community Health Unit,701563,2012
fully-functional,Mumbuni Dispensary,migwani,mwingi west,mwingi west,kitui,Mumbuni/Katalwa Community Health Unit,701560,2017
fully-functional,Danaba Health Centre,danaba,wajir north,wajir north,wajir,Danaba Community Health Unit,701559,2010
semi-functional,Dukana Health Centre (North Horr),dukana,north horr,north horr,marsabit,Dukana Community Health Unit,701558,2010
fully-functional,Bubisa Dispensary,turbi,north horr,north horr,marsabit,Bubisa Community Health Unit,701557,2010
fully-functional,Giika,akachiu,igembe south,igembe south,meru,Marega Health Community Health Unit,701556,2013
fully-functional,Giika,akachiu,igembe south,igembe south,meru,Giika Health Community Health Unit,701555,2016
fully-functional,Kalamene Dispensary,akachiu,igembe south,igembe south,meru,Tiira Health Community Health Unit,701554,2014
fully-functional,Mutiokiama Health Centre,akachiu,igembe south,igembe south,meru,Nceme Health Community Health Unit,701553,2013
semi-functional,Amwamba Dispensary,akachiu,igembe south,igembe south,meru,Auki Health Community Health Unit,701552,2012
fully-functional,Kirimampio Dispensary,athiru gaiti,igembe south,igembe south,meru,Thuuria Health Community Health Unit,701551,2012
semi-functional,Kirimampio Dispensary,athiru gaiti,igembe south,igembe south,meru,Kirimampio Health Community Health Unit,701550,2012
semi-functional,Kiraone Dispensary,athiru gaiti,igembe south,igembe south,meru,Antubakiiru Health Community Health Unit,701549,2012
fully-functional,Balambala Sub-District Hospital,balambala,balambala,balambala,garissa,Balambala Community Health Unit,701548,2014
fully-functional,Jarajara Dispensary,jarajara,balambala,balambala,garissa,Jarajara Community Health Unit,701547,2014
fully-functional,Dujis Health Centre,balambala,balambala,balambala,garissa,Dujis Community Health Unit,701546,2014
fully-functional,Daley Dispensary,saka,balambala,balambala,garissa,Daley Community Health Unit,701545,2014
fully-functional,Kuno Dispensary,balambala,balambala,balambala,garissa,Kuno Community Health Unit,701544,2014
semi-functional,Kiraone Dispensary,athiru gaiti,igembe south,igembe south,meru,Anjaru Health Community Health Unit,701543,2012
semi-functional,Nyambene District Hospital,maua,igembe south,igembe south,meru,Kaibu Health Community Health Unit,701542,2017
semi-functional,Nyambene District Hospital,maua,igembe south,igembe south,meru,Kithaene Health Community Health Unit,701541,2014
semi-functional,Nyambene District Hospital,maua,igembe south,igembe south,meru,Akurani Health Community Health Unit,701539,2014
semi-functional,Nyambene District Hospital,maua,igembe south,igembe south,meru,Kathima Health Community Health Unit,701538,2014
semi-functional,Gitura Dispensary,maua,igembe south,igembe south,meru,Kilalai Health Community Health Unit,701537,2013
semi-functional,Akachiu Health Centre,kanuni,igembe south,igembe south,meru,Antuambui Health Community Health Unit,701536,2016
fully-functional,Handaro Dispensary,sangailu,ijara,hulugho,garissa,Wakabharey Community Health Unit,701535,2011
fully-functional,Handaro Dispensary,sangailu,ijara,hulugho,garissa,Kordoi Community Health Unit,701534,2014
semi-functional,Bultohama Dispensary,sangailu,ijara,hulugho,garissa,Bultohama Community Health Unit,701533,2014
semi-functional,Jalish Dispensary,sangailu,ijara,hulugho,garissa,Jalish Community Health Unit,701532,2016
fully-functional,Handaro Dispensary,sangailu,ijara,hulugho,garissa,Handaro Community Health Unit,701529,2016
fully-functional,Hulugho Sub County Hospital,hulugho,ijara,hulugho,garissa,Lafageri Community Health Unit,701528,2014
fully-functional,Hulugho Sub County Hospital,hulugho,ijara,hulugho,garissa,Shora Community Health Unit,701527,2014
fully-functional,Hulugho Sub County Hospital,hulugho,ijara,hulugho,garissa,Gesireb Community Health Unit,701526,2011
fully-functional,Akachiu Health Centre,kanuni,igembe south,igembe south,meru,Ikuu Community Health Unit,701523,2015
fully-functional,Akachiu Health Centre,kanuni,igembe south,igembe south,meru,Amungenti Health Community Health Unit,701522,2014
semi-functional,Akachiu Health Centre,kanuni,igembe south,igembe south,meru,Athimba Health Community Health Unit,701521,2016
fully-functional,Kianda Dispensary,kanuni,igembe south,igembe south,meru,Kianda Health Community Health Unit,701520,2015
fully-functional,Ongo Health Centre,south kamagambo,rongo,rongo,migori,Kanyimach Community Health Unit,701519,2011
semi-functional,Kiegoi Health Centre,kiegoi/antubochiu,igembe south,igembe south,meru,Itumi Community Health Unit,701518,2012
fully-functional,Boige Health Centre,boikanga,south mugirango,south mugirango,kisii,Boige Community Health Unit (Duplicate),701516,2014
semi-functional,Kiegoi Health Centre,kiegoi/antubochiu,igembe south,igembe south,meru,Mboone Community Health Unit,701515,2012
semi-functional,Kiegoi Health Centre,kiegoi/antubochiu,igembe south,igembe south,meru,Lubuene Community Health Unit,701514,2012
semi-functional,Kiegoi Health Centre,kiegoi/antubochiu,igembe south,igembe south,meru,Ngundune Community Health Unit,701513,2012
fully-functional,Bangali Dispensary,bangale,bura,bura,tana river,Boka Wells Community Health Unit,701512,2017
fully-functional,Bangali Dispensary,bangale,bura,bura,tana river,Bangali Community Health Unit,701511,2013
fully-functional,Sombo Dispensary,sala,bura,bura,tana river,Sala Community Health Unit,701510,2017
fully-functional,Sombo Dispensary,sala,bura,bura,tana river,Sombo Community Health Unit,701509,2017
fully-functional,Sombo Dispensary,sala,bura,bura,tana river,Mororo Community Health Unit,701508,2013
fully-functional,Mlanjo Dispensary,madogo,bura,bura,tana river,Konoramadha Community Health Unit,701507,2017
fully-functional,Madogo Health Centre,madogo,bura,bura,tana river,Mlanjo Community Health Unit,701506,2013
fully-functional,Madogo Health Centre,madogo,bura,bura,tana river,Maramtu Community Health Unit,701505,2013
fully-functional,Madogo Health Centre,madogo,bura,bura,tana river,Madogo A. Community Health Unit,701504,2013
fully-functional,Madogo Health Centre,madogo,bura,bura,tana river,Madogo B. Community Health Unit,701503,2013
fully-functional,Charidende Dispensary (CDF),chewele,bura,bura,tana river,Dukanotu Community Health Unit,701502,2013
